Device: Q-tag CLm doc LR
Vers: 1.9
Fw Vers: 4.7.04o
Device ID: 80
Sensor: 1
Conf:
 Serial: RCPJ00010
 PCB: 81622210000294
 CID: 351
 Lot: 26102012
 Zone: 0.00
 Start Delay: 30
 Max Transport: 0
 Moving Avrg: 1
 MKT Energy: 83.0
 Det Report: 11
 Display and Algorithm Options: 4
 Tol Within Limits: 1.0
 Tol Above Upper Limit: 0.5
 Tol Below Lower Limit: 0.5
 Batt Warning Limit: 2.5
 Temp Offset: 0.1
 User String 1:
 User String 2:
 User String 3:
 Restartable Options: 1
 Max Running Time: 365
 Logging Interval: 10
 Test Res: 1, Test TS: 2022-09-27 10:17
 Expired: 0
 TS Expected Exp: 2023-11-08 02:20
 Alarm:
  1:
   Type: 2, T AL: 8.0, t AL: 30
  2:
   Type: 4, T AL: 8.0, t AL: 60
  3:
   Type: 0
  4:
   Type: 3, T AL: 2.0, t AL: 60
  5:
   Type: 1, T AL: 2.0, t AL: 30
Res:
 TS Actv: 2022-11-08 02:20
 TS Start Trig: 2022-11-08 04:19
 Start Reason: 2
 TS Start: 2022-11-08 04:49
 TS Stop: 2022-11-09 01:28
 Transport: 1
 TS Batt Temp:
 TS Batt Crit:
 Min T: 0.9, TS Min T: 2022-11-08 12:49
 Max T: 24.3, TS Max T: 2022-11-09 00:19
 MKT: 10.5
 Avrg T: 5.4
 Run Number: 2
 Alarm:
  1:
   TS S: 2022-11-08 21:50, t A: 219, TS A: 2022-11-08 22:20, TS E:, T M: 24.5, TS M: 2022-11-09 01:28
  2:
   TS S: 2022-11-08 21:50, t A: 219, TS A: 2022-11-08 22:50
  4:
   TS S: 2022-11-08 05:51, t A: 598, TS A: 2022-11-08 07:34
  5:
   TS S: 2022-11-08 12:16, t A: 145, TS A: 2022-11-08 12:46, TS E: 2022-11-08 14:41, T M: 0.9, TS M: 2022-11-08 12:46
   TS S: 2022-11-08 14:52, t A: 32, TS A: 2022-11-08 15:22, TS E: 2022-11-08 15:24, T M: 1.4, TS M: 2022-11-08 15:00
   TS S: 2022-11-08 15:39, t A: 31, TS A: 2022-11-08 16:09, TS E: 2022-11-08 16:10, T M: 1.4, TS M: 2022-11-08 15:46
Marker:
	Number	T	yyyy-MM-dd hh:mm	
Data:
	yyyy-MM-dd hh:mm	T	Out of limits
	2022-11-08 04:49	4.4	
	2022-11-08 04:59	3.2	
	2022-11-08 05:09	2.1	
	2022-11-08 05:19	2.1	
	2022-11-08 05:29	2.4	
	2022-11-08 05:39	2.6	
	2022-11-08 05:49	2.1	
	2022-11-08 05:59	1.6	x
	2022-11-08 06:09	1.8	x
	2022-11-08 06:19	2.2	
	2022-11-08 06:29	2.3	
	2022-11-08 06:39	1.7	x
	2022-11-08 06:49	1.6	x
	2022-11-08 06:59	1.9	x
	2022-11-08 07:09	2.3	
	2022-11-08 07:19	2.1	
	2022-11-08 07:29	1.5	x
	2022-11-08 07:39	1.7	x
	2022-11-08 07:49	2.1	
	2022-11-08 07:59	2.3	
	2022-11-08 08:09	1.7	x
	2022-11-08 08:19	1.6	x
	2022-11-08 08:29	1.9	x
	2022-11-08 08:39	2.2	
	2022-11-08 08:49	2.1	
	2022-11-08 08:59	1.5	x
	2022-11-08 09:09	1.7	x
	2022-11-08 09:19	2.1	
	2022-11-08 09:29	2.3	
	2022-11-08 09:39	1.7	x
	2022-11-08 09:49	1.6	x
	2022-11-08 09:59	1.9	x
	2022-11-08 10:09	2.2	
	2022-11-08 10:19	2.1	
	2022-11-08 10:29	1.5	x
	2022-11-08 10:39	1.7	x
	2022-11-08 10:49	2.1	
	2022-11-08 10:59	2.3	
	2022-11-08 11:09	1.7	x
	2022-11-08 11:19	1.6	x
	2022-11-08 11:29	1.9	x
	2022-11-08 11:39	2.2	
	2022-11-08 11:49	2.7	
	2022-11-08 11:59	2.7	
	2022-11-08 12:09	2.4	
	2022-11-08 12:19	1.7	x
	2022-11-08 12:29	1.2	x
	2022-11-08 12:39	1.3	x
	2022-11-08 12:49	0.9	x
	2022-11-08 12:59	1.2	x
	2022-11-08 13:09	1.6	x
	2022-11-08 13:19	1.8	x
	2022-11-08 13:29	1.4	x
	2022-11-08 13:39	1.2	x
	2022-11-08 13:49	1.6	x
	2022-11-08 13:59	1.9	x
	2022-11-08 14:09	1.7	x
	2022-11-08 14:19	1.3	x
	2022-11-08 14:29	1.6	x
	2022-11-08 14:39	1.9	x
	2022-11-08 14:49	2.1	
	2022-11-08 14:59	1.5	x
	2022-11-08 15:09	1.4	x
	2022-11-08 15:19	1.8	x
	2022-11-08 15:29	2.2	
	2022-11-08 15:39	1.9	x
	2022-11-08 15:49	1.4	x
	2022-11-08 15:59	1.6	x
	2022-11-08 16:09	1.9	x
	2022-11-08 16:19	2.0	
	2022-11-08 16:29	1.4	x
	2022-11-08 16:39	1.5	x
	2022-11-08 16:49	1.8	x
	2022-11-08 16:59	2.2	
	2022-11-08 17:09	2.0	
	2022-11-08 17:19	1.5	x
	2022-11-08 17:29	1.6	x
	2022-11-08 17:39	2.0	
	2022-11-08 17:49	2.1	
	2022-11-08 17:59	1.4	x
	2022-11-08 18:09	1.5	x
	2022-11-08 18:19	1.8	x
	2022-11-08 18:29	2.2	
	2022-11-08 18:39	1.8	x
	2022-11-08 18:49	1.4	x
	2022-11-08 18:59	2.0	
	2022-11-08 19:09	2.1	
	2022-11-08 19:19	1.5	x
	2022-11-08 19:29	1.7	x
	2022-11-08 19:39	1.4	x
	2022-11-08 19:49	1.7	x
	2022-11-08 19:59	2.2	
	2022-11-08 20:09	3.4	
	2022-11-08 20:19	3.2	
	2022-11-08 20:29	2.7	
	2022-11-08 20:39	2.3	
	2022-11-08 20:49	2.1	
	2022-11-08 20:59	2.0	
	2022-11-08 21:09	1.6	x
	2022-11-08 21:19	1.7	x
	2022-11-08 21:29	2.1	
	2022-11-08 21:39	2.2	
	2022-11-08 21:49	7.0	
	2022-11-08 21:59	15.1	x
	2022-11-08 22:09	19.0	x
	2022-11-08 22:19	21.1	x
	2022-11-08 22:29	22.2	x
	2022-11-08 22:39	22.4	x
	2022-11-08 22:49	22.4	x
	2022-11-08 22:59	22.8	x
	2022-11-08 23:09	23.2	x
	2022-11-08 23:19	22.9	x
	2022-11-08 23:29	22.7	x
	2022-11-08 23:39	22.7	x
	2022-11-08 23:49	23.4	x
	2022-11-08 23:59	23.8	x
	2022-11-09 00:09	24.1	x
	2022-11-09 00:19	24.3	x
	2022-11-09 00:29	24.1	x
	2022-11-09 00:39	23.9	x
	2022-11-09 00:49	23.3	x
	2022-11-09 00:59	23.6	x
	2022-11-09 01:09	23.5	x
	2022-11-09 01:19	24.1	x
Cert:
 Vers: 1.0
 Lot: 26102012
 Issuer: Qtag AG
 Valid from: 2012-10-29 07:07
 Owner: Qtag AG
 Public Key: 174c4c2d9c3c0b1eb01c2f2837db84239d75789ac6e0a0447f22dff558f37166830bdc7f710cb67078d680005abed6d15749aef1b1d828cea53cabca59ba8603
Sig Cert: 1c5530d70568a306d8769d0a288b6321f9360ed626d55f76c3d61675871d635525a0da75a8b598b1ec6b90829eb33ce41d5f94d553ed7e3a739aedc51d6a61d2
Sig: 719c4f6bb685dcf1428aa91f1002f423f33b0ae3f39a3a6648ad693a40111956d9ddab8a79aec04d79062dfac55f61667c336dbd5a912fdb14e0d9e1cc2bb0e4
